id,title,original_title,release_year,vote_average,genres,cast,director,overview,poster_url,poster_local,tmdb_id,runtime,tagline
680,低俗小说,Pulp Fiction,1994,8.3,"Thriller, Crime, Comedy","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,数段相互勾连的罪案谜局，在洛杉矶的地下世界交织成一副时空交错的拼图。,https://image.tmdb.org/t/p/w500/WZW5PCtCbtyKfojdLlPCi89DNx.jpg,assets/posters/680.jpg,680,154,仅仅因为你是一个角色并不意味着你有角色。
278,肖申克的救赎,The Shawshank Redemption,1994,8.5,"Drama, Crime","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,安迪·杜佛兰被错判谋杀妻子及其情人，在缅因州肖申克服刑，判处两项无期徒刑接连执行。影片背景设定于1940年代，展现安迪如何在残酷的监狱环境中艰难求生，甚至赢得狱友们的敬重——尤其是与老囚徒“瑞德”·雷丁之间深厚的友谊。,https://image.tmdb.org/t/p/w500/x6cLNyJWKK7jdaqL9UNPlvJJoVD.jpg,assets/posters/278.jpg,278,142,恐惧会将你囚禁，希望则能让你获得自由。
120,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,2001,8.0,"Adventure, Fantasy, Action","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,J.R.R.托尔金的文学巨著首次以电影形式磅礴呈现——这是一场正义对抗邪恶的史诗冒险，一段关于友谊力量与个人勇气的传奇，更是一次为人类纪元开辟道路的英雄征程。,https://image.tmdb.org/t/p/w500/dvNHlWMxba5f9r8xS9tILLUig8m.jpg,assets/posters/120.jpg,120,228,至尊戒 驭众戒
49026,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,2012,7.6,"Action, Crime, Drama, Thriller","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Christopher Nolan,检察官哈维·登特（艾伦·艾克哈特 Aaron Eckhart 饰）死后的八年间，哥谭市在戈登警长（加里·奥德曼 Gary Oldman 饰）的努力下有效地遏制了犯罪活动。而蝙蝠侠布鲁斯·韦恩（克里斯蒂安·贝尔 Christian Bale 饰）因为背负谋杀登特的罪名，被 警方通缉，在哥谭市销声匿迹。然而，这看似平静的状态被恐怖分子贝恩（汤姆·哈迪 Tom Hardy 饰）的出现打破，他利用猫女（安妮·海瑟薇 Anne Hathaway 饰）偷取布鲁斯的指纹，致使韦恩集团面临破财，布鲁斯被赶出董事会。为了保证韦恩集团投资的能源项目不被坏人利用制造核弹，布鲁斯帮助米兰达（玛丽昂·歌迪亚 Marion Cotillard 饰）成为董事会主席。贝恩接下来一连串精密设计的计划将哥谭市陷入孤绝之境，毁灭之日指日可待。布鲁斯只能再次肩负起拯救哥谭的重任，然而至亲的管家阿福辞职离开、猫女的背叛、贝恩的凶残手段，爱人米拉达的真实面目露出，都让他拯救哥谭的行动变得不可能……,https://image.tmdb.org/t/p/w500/7xSR1G1cBx67WlAooTlwqfXRFaN.jpg,assets/posters/49026.jpg,49026,165,战火将起
76341,疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,2015,7.2,"Action, Adventure, Sci-Fi","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,在我们星球最偏远的角落，一片荒芜的沙漠景观中，人性已然破碎，人人都在为生存必需品而战。两位反抗者或许能恢复秩序——一个是麦克斯，他行动果决、沉默寡言，在经历混乱失去妻儿后寻求内心平静；另一个是弗瑞奥萨，她坚信唯有穿越沙漠重返童年故土，才能找到生存之路。,https://image.tmdb.org/t/p/w500/jGMjF2SRawSsp8taI7BL8cC2Gp7.jpg,assets/posters/76341.jpg,76341,120,疯狂才是生存之道
122,指环王3：王者无敌,The Lord of the Rings: The Return of the King,2003,8.1,"Adventure, Fantasy, Action","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。,https://image.tmdb.org/t/p/w500/kKUgYEOVebuu21N0KnQiGpIStiN.jpg,assets/posters/122.jpg,122,263,敌人的邪眼在移动
70160,饥饿游戏,The Hunger Games,2012,6.9,"Sci-Fi, Adventure, Action, Thriller","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,　　北美洲在一场大战后被摧毁，在美国原来的废墟上，人们建立了新的家园，但新政权规定：管辖下的12个地区每年都必须进贡少年男女，参加一档电视直播节目“饥饿游戏”。节目的规则很简单——杀人或者被杀。凯妮丝的妹妹不幸在12区“选择日”时被选中，由于要保护妹妹，凯妮丝自告奋勇要替妹妹上场 。她不得不与心上人盖尔分开，跟同时被选为12区贡品代表的皮塔进入游戏。尽管凯妮丝自小就进行狩猎，拥有过人的弓箭技巧，对节目里的重重障碍都能应付自如，但她在比赛中要与残忍强壮的他区选手互相周旋，要想成为最后的赢家就必须成为一个没有人性的杀人机器，这对她是一个极大的考验……,https://image.tmdb.org/t/p/w500/mjQU3pP6AzaYbMSNwuoEUw6LNLa.jpg,assets/posters/70160.jpg,70160,142,愿好运永远与你相伴
13,阿甘正传,Forrest Gump,1994,8.2,"Comedy, Drama, Romance","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,透过被命运眷顾的单纯者阿甘的双眼，全景式展现了美国历史上动荡的三十年。,https://image.tmdb.org/t/p/w500/yiWWUa1mB55dfd0QpGHsFsge67I.jpg,assets/posters/13.jpg,13,142,人生就像一盒巧克力，你永远不知道下一块会是什么味道
1726,钢铁侠,Iron Man,2008,7.4,"Action, Sci-Fi, Adventure","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,斯塔克军火公司是美军在全球范围内第一大军火供应商，其新任掌门人托尼·斯塔克风流倜傥，天资聪颖。他与公司元老俄巴迪亚·斯坦合作无间，共同将斯塔克公司的业务推向顶峰。现实生活中的托尼热衷收集名贵跑车，搞点儿发明创造，当然露水姻缘更不可少。所幸他身边有维吉尼亚·波茨这样的好助手细心打理一切，才让他能自由自在过着贵公子的生活。在前往中东为军方展示新型武器的途中，托尼一众遭到恐怖分子袭击。他被弹片击中险些丧命，在英森博士的帮助下，托尼体内移植了一颗核动力的人工心脏。恐怖分子要求托尼制造强大的杀伤性武器，他和英森虚与委蛇，暗中制造了一套由聚变能源驱动的钢铁盔甲。穿上盔甲托尼大闹恐怖分子的基地，回到美国后又对其进行了改进。却不知，接下来有更为黑暗的阴谋等着他……,https://image.tmdb.org/t/p/w500/aGFrhGwoZvsgqI9PdH5mes6HREw.jpg,assets/posters/1726.jpg,1726,126,精钢战甲 打造正义不死身 万吨火力 粉碎全球危机
121,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,2002,8.0,"Adventure, Fantasy, Action","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,在J.R.R.托尔金史诗三部曲的第二篇章中，护戒同盟队面对难以想象的敌军与诡谲阴谋，同时见证了远古奇迹与同胞未觉醒的力量。,https://image.tmdb.org/t/p/w500/ychqojA94mwdskXIIVmDyrfxwXl.jpg,assets/posters/121.jpg,121,235,一股新力量正在崛起
68721,钢铁侠3,Iron Man 3,2013,6.8,"Action, Adventure, Sci-Fi","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,自纽约事件以来，托尼·斯塔克为前所未有的焦虑症所困扰。他疯狂投入钢铁侠升级版的研发，为此废寝忘食，甚至忽略了女友佩珀·波茨的感受。与此同时，臭名昭著的恐怖头目满大人制造了一连串的爆炸袭击事件，托尼当年最忠诚的保镖即在最近的一次袭击中身负重伤。未过多久，托尼、佩珀以及曾与他有过一面之缘的女植物学家玛雅在家中遭到猛烈的炮火袭击，几乎丧命，而这一切似乎都与22年前那名偶然邂逅的科学家奥尔得雷齐·基里安及其终极生物的研究有关。即使有精密先进的铠甲护身，也无法排遣发自心底的焦虑。被击碎一切的托尼，如何穿越来自地狱的熊熊烈火……,https://image.tmdb.org/t/p/w500/9FAFnMobC5Y60cdolrcnqSNaLZr.jpg,assets/posters/68721.jpg,68721,134,钢铁群侠 即将来袭
49051,霍比特人1：意外之旅,The Hobbit: An Unexpected Journey,2012,7.0,"Adventure, Fantasy, Action","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,中土最后一座矮人王国埃尔波尔，巍峨壮丽，庄严雄伟。老国王索尔积聚大量财富，却引来恶龙史茅革的觊觎和荼毒，最终导致这座城池陷落。许多年后，灰袍巫师甘道夫（伊恩·麦凯伦 Ian McKellen 饰）找到弗罗多的舅舅——霍比特人比尔博·巴金斯（马丁·弗里曼 Martin John C. Freeman 饰），邀请他加入由13名矮人组成的远征队伍。原来史茅革已多年不见声息，背负家国仇恨的矮人王子索林（理查德·阿米蒂奇 Richard Armitage 饰）希望借此机会收复故土。经过一番考虑，巴金斯决定加入。令他想不到的是，远征旅途多灾多难，与索林结下深仇大恨的苍白半兽人及其爪牙阴魂不散，更有食人鬼和石人制造的无数艰险。而在旅途中，巴金斯也意外得到了日后影响整个中土的重要宝物…,https://image.tmdb.org/t/p/w500/iFC48OTg5kRK0qPLGA4T43G0moN.jpg,assets/posters/49051.jpg,49051,182,从最小处开始的最伟大的传说
597,泰坦尼克号,Titanic,1997,7.5,"Drama, Romance","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了它完工后的首次商业航行，从英国的南安普顿出发驶往美国纽约。富家少女罗丝与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克也在码头的一场赌博中赢得了下等舱的船票。罗丝厌倦了上流社会虚伪的生活，不愿嫁给卡尔，打算投海自尽，被杰克救起。很快，美丽活泼的罗丝与英俊开朗的杰克相爱，杰克带罗丝参加下等舱的舞会、为她画像，二人的感情逐渐升温。1912年4月14日，星期天晚上，一个风平浪静的夜晚。泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验。,https://image.tmdb.org/t/p/w500/lFYUkUPcFXDzZzSfkiCDsvHIJxj.jpg,assets/posters/597.jpg,597,194,世界上没有什么可以分开他们
135397,侏罗纪世界,Jurassic World,2015,6.5,"Action, Adventure, Sci-Fi, Thriller","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,21世纪，曾经诞生过第一只恐龙的努布拉岛，在经历了一系列的惨剧之后迎来新的时代，如今这里经马斯拉尼公司之手建成了规模宏大的主题公园“侏罗纪世界”，数量繁多的远古生物每天都吸引数以万计的游客前来一饱眼福。为了吸引更多的游客，公司授意创意实验室采用不同动物的基因创造了集力量、速度和智慧于一体的暴虐霸王龙。作为负责人的克莱尔原打算请专门负责迅猛龙的欧文·格雷迪评估暴虐霸王龙的防护设施，谁知这头可怕的怪物竟然骗过了精密仪器的监视和人类的眼睛，以迅雷不及掩耳的速度逃到了外面，随后对所见的一切生物展开了无差别的血腥屠杀。原本快乐祥和的公园乱作一团，克莱尔必须深入危险之地救出两个被困的外甥，而欧文则不可避免地带着他的迅猛龙猎人团队迎战史无前例的的可怕对手……,https://image.tmdb.org/t/p/w500/a30pAdpCBnuA8CVAxM5hHPsetX3.jpg,assets/posters/135397.jpg,135397,124,园区开启
286217,火星救援,The Martian,2015,7.6,"Drama, Adventure, Sci-Fi","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,载人航天宇宙飞船阿瑞斯3号成功抵达火星，谁知一场破坏力极其巨大的风暴向宇航员们袭来，阿瑞斯3号被迫中断任务，紧急返航。撤离途中，宇航员马克·沃特尼被飞船上吹落的零件击中，由于生还希望渺茫，队友们只得匆匆返航，并向世人宣告他已牺牲的事实。出乎意料的是，马克以极低的概率活了下来。他躲进驻火星的航天基地疗伤。下一次火星任务要等到四年后，而基地内的补给仅够他维持31天。短暂的绝望后，马克决定利用有限的食物，在这颗空无一人的星球上种植作物，寻找一线生机。与此同时，地球方面也很快发现马克生还的事实，他们想尽办法部署营救计划。孤军奋战的马克，能否等到救援队伍的到来？,https://image.tmdb.org/t/p/w500/5HUENHVv7wlqwptGkBmEmQkIBAV.jpg,assets/posters/286217.jpg,286217,144,星际拯救 刻不容缓
272,蝙蝠侠：侠影之谜,Batman Begins,2005,7.5,"Drama, Crime, Action","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Christopher Nolan,布鲁斯·韦恩（克里斯汀·贝尔 Christian Bale 饰）童年亲眼目睹了父母在高谭市街头被歹徒枪杀，韦恩充满怒火。在继承了父亲亿万家产后，韦恩开始环游世界，希望凭自己的力量复仇和打击犯罪！韦恩为了了解罪犯的心理，在亚洲他亲自体验了犯罪的感觉，最后被捕入狱。他在狱中遇到了武艺高强的杜卡，杜卡传授了韦恩高强的武艺和坚韧的意志力。韦恩很快被神秘的影忍者盟看上，忍者大师一直想邀他加入。韦恩不久发现影忍者盟对自己的家乡高谭市另有企图，他毅然回到了故乡。韦恩在自己的庄园发现了一个地下室，从此他多了一个身份—蝙蝠侠。蝙蝠侠开始了对抗笼罩在高谭市的黑暗。,https://image.tmdb.org/t/p/w500/VwksWozHDudb7i1XBQBYeEfxiP.jpg,assets/posters/272.jpg,272,140,开战时刻
11,星球大战4：新希望,Star Wars,1977,8.1,"Adventure, Action, Sci-Fi","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,很久以前，在一个遥远的银河系……莱娅公主被邪恶的帝国势力挟为人质，企图镇压反抗银河帝国的起义军。卢克·天行者与汉·索罗船长携手可爱的机器人搭档R2-D2和C-3PO，共同踏上拯救美丽公主、恢复银河系正义的征程。[20世纪福克斯],https://image.tmdb.org/t/p/w500/61uFeKDF0v5sFeFWikSZT10L14v.jpg,assets/posters/11.jpg,11,121,很久很久以前，在遥远的银河系……
14160,飞屋环游记,Up,2009,7.7,"Animation, Comedy, Family, Adventure","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,小男孩卡尔（Carl Fredricksen）怀揣着对于冒险的热爱偶遇假小子艾丽（Ellie），而艾丽把整个屋子当成一艘大飞船游戏居然使他对这个女孩子有些着迷，相同的爱好最终使两个人成为了一生的爱侣。他们有一个梦想，那就是有朝一日要去南美洲的“仙境瀑布”探险，但直到艾丽去世，这个梦想也未能实现。终于有一天，曾经专卖气球的老人卡尔居然用五颜六色的气球拽着他的房子飞上了天空，他决定要去实现他们未曾实现的梦想。令卡尔始料不及的是，门廊居然搭上了一个自称是“荒野开拓者”的小男孩小罗（Russell），小罗的喋喋不休让卡尔对这个小胖墩格外讨厌。一老一少在飞行中经过了千难万险终于看到了传说中的“仙境瀑布”，在相处过程中卡尔发现小罗其实是个惹人怜爱的孩子。在步行穿越一座森林时，他们遇到了不会飞的大鸟凯文（Kevin）和一只会说话的狗狗逗逗（Dug），让老人惊讶的是他们还遇到了他少年的崇拜偶像——探险家查尔斯·蒙兹（Charles Muntz），而且他发现蒙兹居然是一个为达目的不择手段的坏人。这时，老人离自己的梦想之地只有一步之遥…,https://image.tmdb.org/t/p/w500/79R2HaSUTYBmxIrjDNouEtxjMQc.jpg,assets/posters/14160.jpg,14160,96,与你一起 展翼高飞
671,哈利·波特与魔法石,Harry Potter and the Philosopher's Stone,2001,7.5,"Adventure, Fantasy","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,哈利·波特是一个孤儿，从小寄养在姨妈家，受尽欺凌。但就在哈利11岁生日的时候，他意外收到了霍格沃茨学院的入学通知书。哈利从该学院派来接他的巨人海格口中得知，这是一间魔法学院，并得知了自己的身世，原来哈利的父母都是伟大的魔法师，在对付伏地魔的战斗中双双献身，唯有哈利幸免于难。哈利进入霍格沃茨后，表现出了超乎想象的飞行天赋，得到麦格教授的推荐进入了格兰芬多的魁地奇球队。另一方面，哈利发现霍格沃茨学院内有一股黑暗势力似乎在暗暗滋长，揭开谜团的关键就在有凶恶的三头犬守护的房间内。哈利、罗恩和赫敏三个好朋友决定探个究竟。,https://image.tmdb.org/t/p/w500/4oglmTTSAZb9FSO3IFuMK8F7qQ3.jpg,assets/posters/671.jpg,671,152,魔法永恒
150540,头脑特工队,Inside Out,2015,8.0,"Animation, Family, Adventure, Drama, Comedy","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,"可爱的小女孩莱莉（凯特林·迪亚斯 Kaitlyn Dias 配音）出生在明尼苏达州一个平凡的家庭中，从小她在父母的呵护下长大，脑海中保存着无数美好甜蜜的回忆。当然这些记忆还与几个莱莉未曾谋面的伙伴息息相关，他们就是人类的五种主要情绪：乐乐（艾米·波勒 Amy Poehl er 配音）、忧忧（菲利丝·史密斯 Phyllis Smith 配音）、怕怕（比尔·哈德尔 Bill Hader 配音）、厌厌（敏迪·卡灵 Mindy Kaling 配音）和怒怒（刘易斯·布莱克 Lewis Black 配音）。乐乐作为团队的领导，她协同其他伙伴致力于为小主人营造更多美好的珍贵回忆。某天，莱莉随同父母搬到了旧金山，肮脏逼仄的公寓、陌生的校园环境、逐渐失落的友情都让莱莉无所适从，她的负面情绪逐渐累积，内心美好的世界渐次崩塌。 为了保护这一切，乐乐只有行动起来……",https://image.tmdb.org/t/p/w500/gN3qUaxucFWNTBDsaxkyCQSbox2.jpg,assets/posters/150540.jpg,150540,95,“我们可能会悲伤，但我们也可以快乐。”
37724,007：大破天幕杀机,Skyfall,2012,6.9,"Action, Adventure, Thriller","Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Various Directors,随着M的过往找上门来，邦德对她的忠诚面临考验。当军情六处遭遇袭击，007必须追踪并摧毁威胁，无论将付出多么个人的代价。[哥伦比亚影业],https://image.tmdb.org/t/p/w500/vEPZB8upmcHiL3YnDL4O26DuJTf.jpg,assets/posters/37724.jpg,37724,143,天幕开启 难逃杀机
